3104,1003,4.009e+005
2600,1003,3.309e+005
3400,1003,3.7e+005
2416,1002,2.33e+005
4000,1004,5.409e+005
2985,1004,3.009e+005
2534,1003,3.159e+005
2427,1003,2e+005
2380,1003,2.13e+005
2494,1003,2.435e+005
2940,1004,2.41e+005
3000,1003,3.48e+005
2890,1003,3.31e+005
5478,1005,7.009e+005
2268,1003,2.609e+005
3300,1004,4.509e+005
2320,1002,3.009e+005
2236,1003,2.009e+005
3609,1004,5.01e+005
4031,1004,6e+005
2767,1003,2.539e+005
2888,1002,2.56e+005
2604,1003,2.439e+005
2962,1004,2.609e+005
4890,1003,5.749e+005
2100,1003,2.509e+005
2458,1003,4.655e+005
3526,1003,4.7e+005
3200,1003,4.76e+005
3637,1003,3.009e+005
2839,1002,3.509e+005
2000,1001,1.709e+005
3040,1004,3.159e+005
4137,1003,5.809e+005
2811,1004,2.869e+005
2437,1003,2.509e+005
2239,1003,2.309e+005
3132,1004,3.46e+005
5215,1004,5.5e+005
3162,1004,2.88e+005
2664,1002,3.695e+005
3238,1003,3.309e+005
3567,1004,3.15e+005
2200,1003,3e+005
1852,1002,1.809e+005
2852,1004,3.009e+005
2203,1003,2.405e+005
